sensor_id,sensor_number,reading_number,timestamp,voltage,sheet_name,row_index,column_index
SENP1_S2,2,1,2024-01-01 00:00:00,1.0,SENP1,0,1
SENP1_S3,3,1,2024-01-01 00:00:00,2.0,SENP1,0,2
SENP1_S4,4,1,2024-01-01 00:00:00,3.0,SENP1,0,3
SENP1_S5,5,1,2024-01-01 00:00:00,4.0,SENP1,0,4
SENP1_S6,6,1,2024-01-01 00:00:00,5.0,SENP1,0,5
SENP1_S7,7,1,2024-01-01 00:00:00,6.0,SENP1,0,6
SENP1_S8,8,1,2024-01-01 00:00:00,7.0,SENP1,0,7
SENP1_S9,9,1,2024-01-01 00:00:00,8.0,SENP1,0,8
SENP1_S10,10,1,2024-01-01 00:00:00,9.0,SENP1,0,9
SENP1_S11,11,1,2024-01-01 00:00:00,10.0,SENP1,0,10
SENP1_S12,12,1,2024-01-01 00:00:00,11.0,SENP1,0,11
SENP1_S13,13,1,2024-01-01 00:00:00,12.0,SENP1,0,12
SENP1_S14,14,1,2024-01-01 00:00:00,13.0,SENP1,0,13
SENP1_S15,15,1,2024-01-01 00:00:00,14.0,SENP1,0,14
SENP1_S16,16,1,2024-01-01 00:00:00,15.0,SENP1,0,15
SENP1_S17,17,1,2024-01-01 00:00:00,16.0,SENP1,0,16
SENP1_S18,18,1,2024-01-01 00:00:00,17.0,SENP1,0,17
SENP1_S19,19,1,2024-01-01 00:00:00,18.0,SENP1,0,18
SENP1_S20,20,1,2024-01-01 00:00:00,19.0,SENP1,0,19
SENP1_S21,21,1,2024-01-01 00:00:00,20.0,SENP1,0,20
SENP1_S22,22,1,2024-01-01 00:00:00,21.0,SENP1,0,21
SENP1_S23,23,1,2024-01-01 00:00:00,22.0,SENP1,0,22
SENP1_S24,24,1,2024-01-01 00:00:00,23.0,SENP1,0,23
SENP1_S25,25,1,2024-01-01 00:00:00,24.0,SENP1,0,24
SENP1_S26,26,1,2024-01-01 00:00:00,25.0,SENP1,0,25
SENP1_S27,27,1,2024-01-01 00:00:00,26.0,SENP1,0,26
SENP1_S28,28,1,2024-01-01 00:00:00,27.0,SENP1,0,27
SENP1_S29,29,1,2024-01-01 00:00:00,28.0,SENP1,0,28
SENP1_S30,30,1,2024-01-01 00:00:00,29.0,SENP1,0,29
