sheet_name,completeness,unique_sensors,total_readings,date_range,value_range
SENP1,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.0), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.4851033187852223)}"
SENP2,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.0), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.3788791486537257)}"
SENP3,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.05), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.6392736385723237)}"
SENP4,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.0), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.673844708891672)}"
SENP5,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.28), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.421621790294302)}"
SEN_V,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.67), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(3.2267376330619912)}"
SEN_SP1,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.39), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.6857232310582346)}"
SEN_SP2,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.49), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.71666875410144)}"
SEN_GAR1,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.0), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.4976894179085787)}"
SEN_GAR2,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.0), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.446167814652473)}"
SEN_PUL1,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.26), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.1609142141515343)}"
SEN_PUL2,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.34), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.3592799001252347)}"
SEN_ANTI,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.0), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(3.288979336380714)}"
SEN_SPI1,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.32), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(3.3289355040075144)}"
SEN_SPI2,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.43), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(3.3264934251721976)}"
SEN_MAR,1.0,60,1597,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-01 02:30:00'), 'duration_days': 0}","{'min_voltage': np.float64(0.15), 'max_voltage': np.float64(60.0), 'mean_voltage': np.float64(2.4256167816531)}"
EMG,1.0,60,30289,"{'start': Timestamp('2024-01-01 00:00:00'), 'end': Timestamp('2024-01-03 11:00:00'), 'duration_days': 2}","{'min_voltage': np.float64(0.0), 'max_voltage': np.float64(5000.0), 'mean_voltage': np.float64(1721.7655271673875)}"
