sensor_id,sheet_name,count,mean,median,std,min,max,q25,q75,outliers_count
SENP1_S10,SENP1,30,2.3896666666666664,2.52,1.3561748522535941,1.36,9.0,1.38,2.54,1
SENP1_S11,SENP1,30,1.8766666666666665,1.605,1.535181295220666,1.49,10.0,1.5725,1.6375,1
SENP1_S12,SENP1,30,1.7756666666666665,1.43,1.7497323604864068,0.85,11.0,1.4,1.6075000000000002,2
SENP1_S13,SENP1,30,2.4709999999999996,2.18,1.8016589098900508,1.86,12.0,2.1325,2.19,4
SENP1_S14,SENP1,30,1.8963333333333334,1.52,2.100358726886718,1.02,13.0,1.49,1.5475,5
SENP1_S15,SENP1,30,2.624,2.46,2.217878140988784,0.47,14.0,2.3925,2.5,6
SENP1_S16,SENP1,30,2.820333333333333,2.565,2.3174636601448477,1.88,15.0,2.3625,2.6275,7
SENP1_S17,SENP1,30,1.714,1.255,2.7012405834459052,0.87,16.0,1.21,1.3050000000000002,4
SENP1_S18,SENP1,30,2.176,1.67,2.8003036781133535,1.52,17.0,1.6349999999999998,1.7175,1
SENP1_S19,SENP1,30,1.7536666666666667,0.99,3.10156743837396,0.65,18.0,0.895,1.8250000000000002,1
SENP1_S2,SENP1,30,0.17866666666666667,0.12,0.19218764776650707,0.0,1.0,0.08,0.2425,1
SENP1_S20,SENP1,30,2.037666666666667,1.59,3.2120019359865912,1.08,19.0,1.1400000000000001,1.62,1
SENP1_S21,SENP1,30,1.4133333366666667,0.74,3.516301282539112,0.57,20.0,0.6325000000000001,0.855,2
SENP1_S22,SENP1,30,2.6899999966666663,2.34,3.4970805575113846,0.9599999,21.0,1.755,2.4925,1
SENP1_S23,SENP1,30,3.069,2.53,3.5872046075672515,1.42,22.0,2.43,2.59,5
SENP1_S24,SENP1,30,2.5469999999999997,1.9899999999999998,3.875921381004023,1.37,23.0,1.53,2.1775,1
SENP1_S25,SENP1,30,2.5170000000000003,1.815,4.064760373816853,1.16,24.0,1.7725,1.935,4
SENP1_S26,SENP1,30,2.1843333333333335,1.44,4.311726339065189,0.84,25.0,1.42,1.46,5
SENP1_S27,SENP1,30,1.8306666666666667,0.885,4.569311374461321,0.82,26.0,0.8425,1.26,1
SENP1_S28,SENP1,30,2.402333333333333,1.61,4.650938862084791,1.06,27.0,1.4024999999999999,1.7375,1
SENP1_S29,SENP1,30,2.613,2.115,4.8272139105213725,0.79,28.0,1.0550000000000002,2.17,1
SENP1_S3,SENP1,30,1.46,1.45,0.10576486607825737,1.37,2.0,1.43,1.46,3
SENP1_S30,SENP1,30,2.241,1.4,5.058765932381206,0.57,29.0,1.37,1.41,6
SENP1_S31,SENP1,30,2.5036666666666667,1.62,5.1973232389928095,0.83,30.0,1.5925,1.64,5
SENP1_S32,SENP1,30,2.2550000033333335,1.335,5.431152001196749,0.87,31.0,1.255,1.36,6
SENP1_S33,SENP1,30,2.4426666666666668,1.59,5.589833711260132,0.9,32.0,1.4625,1.6175000000000002,8
SENP1_S34,SENP1,30,3.1540000000000004,2.315,5.659394752578869,0.87,33.0,2.12,2.49,5
SENP1_S35,SENP1,30,2.4776666666666665,1.415,5.95425648002209,1.15,34.0,1.38,1.45,5
SENP1_S36,SENP1,30,2.535666663333333,1.6800000000000002,6.150060658466766,0.81,35.0,0.92,1.8975,1
